"0.4H","0.5H","0.8H","1H","2H","3H","5H","8H","1K","2K","3K","5K","6K","8K","10K","12K","15K","20K","25K","30K","40K","50K","60K","65K","75K","80K","100K","140K","200K","LAMINA","ELO","S/C","10F","1EF","40EF","65EF","80EF","100EF","6T","8T","10T","12T","15T","20T","25T","30T","40T","50T","65T","80T","100T"
,,,"407.3332;0.0136","505.4123;0.0151","505.4123;0.0151","505.4123;0.0151","1000;0.0133","6.01267;0.751759","14.304;0.568581","22.4314;0.60731","27.8583;0.600991","21.9847;3.10757","24.007;7.87619","39.9387;2.41293","39.187;8.89816","58.0524;3.73535","71.4749;4.99702","117.842;1.86421","113.448;5.31665","160.347;3.04604","154.987;11.4712",,"285.529;2.11878",,"270.249;6.72508","369.941;5.38621","1389.2;0.410265","6278.37;0.063685",,,,,,,,,,"28.1162;3.22793","37.6505;3.54608","40.1389;7.08404","54.0736;6.50677","78.7553;3.91902","76.6574;9.42009","112.544;5.91117","137.599;8.53217","254.256;2.89748","300.469;3.40363","355.791;3.40703","459.594;3.98621","566.424;4.45863"
,,,"700;0.0135","603.3846;0.0138","603.3846;0.0138","603.3846;0.0138",,"6.80918;0.584867","16.4527;0.435469","25.962;0.453126","32.0099;0.45455","22.9506;2.62962","24.541;6.95071","42.4933;1.94223","40.0988;7.62814","60.9069;3.08281","74.3175;4.07896","125.129;1.5324","118.907;4.33119","169.244;2.47896","157.96;10.1031",,"304.4;1.73124",,"277.645;5.79412","385.424;4.48547","1614.53;0.293564","8419.03;0.042087",,,,,,,,,,"29.9745;2.66137","39.2655;3.12627","41.6935;6.14011","56.5625;5.56136","84.0444;3.29314","80.266;7.89985","118.788;4.96713","142.073;7.62051","275.984;2.34161","318.73;2.90618","379.685;2.90328","481.71;3.49678","605.675;3.65407"
,,,"1000;0.0133","700;0.0135","700;0.0135","700;0.0135",,"7.77542;0.447006","18.8069;0.335269","29.8311;0.348134","37.746;0.342714","24.1032;2.15511","25.0869;6.06081","45.3925;1.54626","41.3613;6.33978","63.9017;2.5647","77.1959;3.44472","132.733;1.30583","123.266;3.65407","178.635;2.0644","161.151;8.95171",,"322.255;1.48414",,"288.398;4.9473","401.153;3.82608","1927.69;0.203783","10000;0.034322",,,,,,,,,,"32.0516;2.20966","41.1962;2.71242","44.1833;5.02207","58.3434;5.01705","88.9741;2.81747","83.3748;6.90222","126.134;4.17804","147.871;6.69154","303.185;1.84566","341.84;2.42502","416.274;2.34396","518.191;2.90328","650.241;3.01573"
,,,,"1000;0.0133","1000;0.0133","1000;0.0133",,"8.99924;0.338086","21.2762;0.266074","36.0629;0.243185","44.051;0.261385","25.0618;1.87168","25.8509;5.1184","48.007;1.32556","42.9203;5.21137","67.5147;2.1209","80.0255;3.00069","140.519;1.1061","127.274;3.25386","187.793;1.76092","165.231;7.65871",,"340.475;1.26091",,"295.995;4.39225","421.299;3.15138","2315.94;0.144148","10000;0.034322",,,,,,,,,,"34.1017;1.88107","43.7874;2.31831","46.8685;4.13647","61.151;4.30528","95.6165;2.38414","87.9128;5.82316","133.666;3.54962","152.527;6.0005","337.088;1.4331","361.168;2.12514","473.591;1.8037","574.41;2.2453","705.102;2.43718"
,,,,,,,,"10.7002;0.24293","25.324;0.19239","41.5233;0.18821","50.6683;0.204423","26.0846;1.62879","26.3468;4.56694","51.6426;1.07126","44.316;4.4765","71.1895;1.79291","83.2082;2.59826","150.256;0.922968","131.15;2.87439","200.205;1.47379","169.244;6.81989",,"363.705;1.07126",,"308.692;3.74283","442.457;2.66936","2814.3;0.101115",,,,,,,,,,,"36.3555;1.60775","46.3558;1.9934","49.8663;3.44816","63.774;3.78423","102.447;2.02757","94.476;4.67319","141.789;3.02176","160.027;5.13892","388.908;1.05742","391.249;1.73818","550.234;1.31106","654.154;1.6885","780.038;1.89807"
,,,,,,,,"13.1246;0.164971","29.2796;0.148898","47.8105;0.145207","58.765;0.157551","27.3399;1.39771","27.1763;4.00219","54.9457;0.910137","46.2632;3.71672","75.743;1.48266","87.2123;2.21852","164.078;0.753399","136.913;2.47648","211.948;1.25839","174.398;5.83482",,"386.968;0.927595",,"321.29;3.21504","467.006;2.2498","3564.69;0.069026",,,,,,,,,,,"38.565;1.41317","49.469;1.74515","52.897;2.88303","67.989;3.14194","111.647;1.71059","98.8245;4.10761","151.009;2.5647","165.231;4.64524","442.457;0.816147","446.011;1.29413","634.821;0.97029","734.612;1.28125","852.645;1.55401"
,,,,,,,,"15.2536;0.127811","33.853;0.117306","55.6233;0.113326","66.4119;0.12902","28.5983;1.20905","28.2007;3.40022","58.9297;0.768618","48.055;3.17987","81.235;1.21755","92.0513;1.83462","180.43;0.60704","141.648;2.17459","223.708;1.08636","180.25;4.96713",,"412.132;0.798388",,"328.765;2.90618","487.526;1.93255","4716.11;0.045142",,,,,,,,,,,"41.5271;1.19344","57.0168;1.2851","55.6647;2.50137","70.7637;2.79502","122.283;1.4288","105.04;3.4344","163.587;2.13366","171.459;4.1864","527.075;0.575129","519.748;0.940673","731.68;0.721689","829.931;0.97029","960.393;1.19105"
,,,,,,,,"17.5814;0.100377","40.7135;0.087068","64.9817;0.087616","74.6658;0.105435","29.9445;1.05531","29.0595;3.01271","63.9656;0.638163","49.7667;2.76168","86.2583;1.03441","97.8412;1.54317","195.653;0.51265","147.428;1.90759","240.409;0.903788","185.553;4.46309",,"446.904;0.672226",,"342.867;2.50638","514.576;1.66336","6079.81;0.032437",,,,,,,,,,,"48.1031;0.899281","64.415;0.989891","58.9297;2.16807","75.6673;2.36042","135.55;1.17684","110.315;3.04604","181.516;1.71745","178.635;3.72044","615.443;0.423094","586.6;0.730402","853.498;0.528791","941.376;0.726032","1098.1;0.905598"
,,,,,,,,"20.2015;0.079411","47.514;0.068022","75.9933;0.069098","87.0473;0.082372","31.3541;0.922968","30.185;2.57498","69.0856;0.538396","52.6331;2.2838","91.3178;0.887666","104.83;1.25463","215.798;0.427346","154.368;1.65672","256.299;0.77712","192.163;3.81462",,"485.094;0.569976",,"359.367;2.16374","543.127;1.42452","8524.42;0.021981",,,,,,,,,,,"57.7051;0.623653","69.7799;0.842686","62.8874;1.85677","79.5468;2.06234","151.312;0.941614","118.314;2.55191","205.068;1.34291","187.793;3.25061","751.704;0.289627","679.49;0.540013","993.608;0.391738","1068.85;0.549272","1263.12;0.677625"
,,,,,,,,"24.0698;0.059499","56.7886;0.052645","89.1478;0.053927","103.823;0.063352","33.1932;0.801588","31.1978;2.2453","77.3504;0.437726","54.4534;2.03977","97.9391;0.758691","110.757;1.07448","241.132;0.348484","161.151;1.44316","275.984;0.656941","198.61;3.31959",,"530.778;0.482313",,"372.912;1.90759","576.712;1.20664","10000;0.018849",,,,,,,,,,,"69.9196;0.423094","76.1226;0.707399","67.7176;1.55556","84.8043;1.77684","178.992;0.672898","124.629;2.28152","233.771;1.03649","200.205;2.74516","908.998;0.20247","778.48;0.413887","1144.06;0.296959","1202.72;0.424789","1479.32;0.493535"
