
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus               Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

22949m573              Nan        Nan        Nan          0       Nan         0
22920m573              Nan        Nan        Nan          0       Nan         0
22893m573              Nan        Nan        Nan          0       Nan         0
22986m573              Nan        Nan        Nan          0       Nan         0
22979m573              Nan        Nan        Nan          0       Nan         0
195503m573             Nan        Nan        Nan          0       Nan         0
29551m573              Nan        Nan        Nan          0       Nan         0
8704276m573            Nan        Nan        Nan          0       Nan         0
29397m573              Nan        Nan        Nan          0       Nan         0
23037m573              Nan        Nan        Nan          0       Nan         0
23088m573              Nan        Nan        Nan          0       Nan         0
22890m573              Nan        Nan        Nan          0       Nan         0
23128m573              Nan        Nan        Nan          0       Nan         0
23226m573              Nan        Nan        Nan          0       Nan         0
23159m573              Nan        Nan        Nan          0       Nan         0
23211m573              Nan        Nan        Nan          0       Nan         0
23271m573              Nan        Nan        Nan          0       Nan         0
23430m573              Nan        Nan        Nan          0       Nan         0
23443m573              Nan        Nan        Nan          0       Nan         0
23448m573              Nan        Nan        Nan          0       Nan         0
23447m573              Nan        Nan        Nan          0       Nan         0
23455m573              Nan        Nan        Nan          0       Nan         0
23462m573              Nan        Nan        Nan          0       Nan         0
9442784m573            Nan        Nan        Nan          0       Nan         0
9442785m573            Nan        Nan        Nan          0       Nan         0
9442786m573            Nan        Nan        Nan          0       Nan         0
23500m573              Nan        Nan        Nan          0       Nan         0
23512m573              Nan        Nan        Nan          0       Nan         0
23519m573              Nan        Nan        Nan          0       Nan         0
23535m573              Nan        Nan        Nan          0       Nan         0
23558m573              Nan        Nan        Nan          0       Nan         0
18234m573              Nan        Nan        Nan          0       Nan         0
23778m573              Nan        Nan        Nan          0       Nan         0
23784m573              Nan        Nan        Nan          0       Nan         0
23787m573              Nan        Nan        Nan          0       Nan         0
23821m573              Nan        Nan        Nan          0       Nan         0
23796m573              Nan        Nan        Nan          0       Nan         0
23811m573              Nan        Nan        Nan          0       Nan         0
23617m573              Nan        Nan        Nan          0       Nan         0
23685m573              Nan        Nan        Nan          0       Nan         0
22889m573              Nan        Nan        Nan          0       Nan         0
22888m573              Nan        Nan        Nan          0       Nan         0
22898m573              Nan        Nan        Nan          0       Nan         0
22891m573              Nan        Nan        Nan          0       Nan         0
22892m573              Nan        Nan        Nan          0       Nan         0
23707m573              Nan        Nan        Nan          0       Nan         0
23840m573              Nan        Nan        Nan          0       Nan         0
23883m573              Nan        Nan        Nan          0       Nan         0
23844m573              Nan        Nan        Nan          0       Nan         0
23885m573              Nan        Nan        Nan          0       Nan         0
104417317m573          Nan        Nan        Nan          0       Nan         0
23014m573              Nan        Nan        Nan          0       Nan         0
9622818m573            Nan        Nan        Nan          0       Nan         0
28727m573              Nan        Nan        Nan          0       Nan         0
9628431m573            Nan        Nan        Nan          0       Nan         0
9628433m573            Nan        Nan        Nan          0       Nan         0
9628434m573            Nan        Nan        Nan          0       Nan         0
786686m573             Nan        Nan        Nan          0       Nan         0
9637401m573            Nan        Nan        Nan          0       Nan         0
9637403m573            Nan        Nan        Nan          0       Nan         0
9442787m573            Nan        Nan        Nan          0       Nan         0
9442789m573            Nan        Nan        Nan          0       Nan         0
104017200m573          Nan        Nan        Nan          0       Nan         0
18334m573              Nan        Nan        Nan          0       Nan         0
29017m573              Nan        Nan        Nan          0       Nan         0
29886m573              Nan        Nan        Nan          0       Nan         0
274087m573             Nan        Nan        Nan          0       Nan         0
18246m573              Nan        Nan        Nan          0       Nan         0
29281m573              Nan        Nan        Nan          0       Nan         0
18422m573              Nan        Nan        Nan          0       Nan         0
29691m573              Nan        Nan        Nan          0       Nan         0
28915m573              Nan        Nan        Nan          0       Nan         0
29161m573              Nan        Nan        Nan          0       Nan         0
28754m573              Nan        Nan        Nan          0       Nan         0
28756m573              Nan        Nan        Nan          0       Nan         0
18466m573              Nan        Nan        Nan          0       Nan         0
29467m573              Nan        Nan        Nan          0       Nan         0
274110m573             Nan        Nan        Nan          0       Nan         0
274111m573             Nan        Nan        Nan          0       Nan         0
29049m573              Nan        Nan        Nan          0       Nan         0
104217979m573          Nan        Nan        Nan          0       Nan         0
104302217m573          Nan        Nan        Nan          0       Nan         0
104324851m573          Nan        Nan        Nan          0       Nan         0
104324852m573          Nan        Nan        Nan          0       Nan         0
29405m573              Nan        Nan        Nan          0       Nan         0
29331m573              Nan        Nan        Nan          0       Nan         0
28338m573              Nan        Nan        Nan          0       Nan         0
28454m573              Nan        Nan        Nan          0       Nan         0
28466m573              Nan        Nan        Nan          0       Nan         0
28344m573              Nan        Nan        Nan          0       Nan         0
28478m573              Nan        Nan        Nan          0       Nan         0
28502m573              Nan        Nan        Nan          0       Nan         0
28351m573              Nan        Nan        Nan          0       Nan         0
104424872m573          Nan        Nan        Nan          0       Nan         0
28402m573              Nan        Nan        Nan          0       Nan         0
28412m573              Nan        Nan        Nan          0       Nan         0
28436m573              Nan        Nan        Nan          0       Nan         0
28423m573              Nan        Nan        Nan          0       Nan         0
28432m573              Nan        Nan        Nan          0       Nan         0
28593m573              Nan        Nan        Nan          0       Nan         0
28671m573              Nan        Nan        Nan          0       Nan         0
28560m573              Nan        Nan        Nan          0       Nan         0
28509m573              Nan        Nan        Nan          0       Nan         0
28493m573              Nan        Nan        Nan          0       Nan         0
28573m573              Nan        Nan        Nan          0       Nan         0
28581m573              Nan        Nan        Nan          0       Nan         0
28597m573              Nan        Nan        Nan          0       Nan         0
28621m573              Nan        Nan        Nan          0       Nan         0
28802m573              Nan        Nan        Nan          0       Nan         0
28649m573              Nan        Nan        Nan          0       Nan         0
29131m573              Nan        Nan        Nan          0       Nan         0
29043m573              Nan        Nan        Nan          0       Nan         0
29053m573              Nan        Nan        Nan          0       Nan         0
29139m573              Nan        Nan        Nan          0       Nan         0
104460908m573          Nan        Nan        Nan          0       Nan         0
104460910m573          Nan        Nan        Nan          0       Nan         0
104460906m573          Nan        Nan        Nan          0       Nan         0
29378m573              Nan        Nan        Nan          0       Nan         0
29325m573              Nan        Nan        Nan          0       Nan         0
29173m573              Nan        Nan        Nan          0       Nan         0
29150m573              Nan        Nan        Nan          0       Nan         0
29164m573              Nan        Nan        Nan          0       Nan         0
18224m573              Nan        Nan        Nan          0       Nan         0
29160m573              Nan        Nan        Nan          0       Nan         0
29085m573              Nan        Nan        Nan          0       Nan         0
29262m573              Nan        Nan        Nan          0       Nan         0
29274m573              Nan        Nan        Nan          0       Nan         0
104810282m573          Nan        Nan        Nan          0       Nan         0
29280m573              Nan        Nan        Nan          0       Nan         0
29092m573              Nan        Nan        Nan          0       Nan         0
29318m573              Nan        Nan        Nan          0       Nan         0
29301m573              Nan        Nan        Nan          0       Nan         0
29302m573              Nan        Nan        Nan          0       Nan         0
29303m573              Nan        Nan        Nan          0       Nan         0
29351m573              Nan        Nan        Nan          0       Nan         0
29368m573              Nan        Nan        Nan          0       Nan         0
29355m573              Nan        Nan        Nan          0       Nan         0
29369m573              Nan        Nan        Nan          0       Nan         0
29364m573              Nan        Nan        Nan          0       Nan         0
29466m573              Nan        Nan        Nan          0       Nan         0
